"Time [ms]","InducedVoltage(PhaseA) []","InducedVoltage(PhaseB) []","InducedVoltage(PhaseC) []"
24.8,16.8261512864973,237.00862429599,-153.916912761448
25,-12.5902958335478,246.423463617694,-138.650762231458
25.2,-39.2348519503313,254.503286250698,-118.659257206497
25.4,-67.2303587884218,256.573758480491,-98.8172737950954
25.6,-98.6958767652368,249.965710352307,-82.0038354972272
25.8,-128.439089487702,239.647617642708,-63.7331573599759
26,-153.881427030722,227.852802237866,-42.2320879012458
26.2,-176.757300671632,212.605567680141,-19.9934497175336
26.4,-196.128389088883,194.726892879025,3.22019398883155
26.6,-211.460009139463,174.750940177772,27.2595426559105
26.7999999999999,-223.658326941229,151.882689559171,50.638381624924
26.9999999999999,-230.891270688434,128.123883458723,74.6364576603183
27.1999999999999,-233.659987685546,103.207887259978,98.2116150512804
27.3999999999999,-232.848011873464,76.5865864609597,120.09623853761
27.5999999999999,-228.120499521373,49.0949230923432,140.338973271955
27.7999999999999,-219.504355354744,21.222437315333,158.719740674451
27.9999999999999,-207.759128600406,-7.20026605411456,174.345208686952
28.1999999999999,-192.658204234625,-35.4093706873557,187.253639102637
28.3999999999999,-176.912969095114,-65.4682806796247,194.803241769584
28.5999999999999,-164.706244182619,-100.902941068128,193.024272095778
28.7999999999999,-149.949944270081,-134.904778579616,188.194248751747
28.9999999999999,-131.837247291323,-165.943438186066,181.368194980061
29.1999999999999,-119.076447331406,-202.371078280064,164.131403863153
29.3999999999999,-105.560910614719,-237.639941848924,142.93019744715
29.5999999999999,-70.7847275235296,-250.510418825294,138.370380171194
29.7999999999999,-19.8406460476377,-242.180613906188,147.178711027782
30,11.8784607303045,-249.212325990949,134.183797863691
