"Time [ms]","ElecPower []","MechPower []"
21.2,21619.7315862696,20532.1684987977
21.4,20274.881448531,20841.4173472359
21.6,18695.032305666,21034.3343062932
21.8,17155.6034012829,21052.9274422115
22,15871.7437868804,20971.168567018
22.2,14919.4033773639,20730.3664326635
22.4,14261.8423615966,20234.1368606489
22.6,13843.8677651735,19499.2734313164
22.8,13673.1824454262,18659.7797125475
23,13726.2702218966,17816.0869937218
23.2,14015.4727100092,16900.8373853061
23.4,14665.8731874395,16007.1413139601
23.6,15634.9549379325,15282.6235660254
23.8,16872.68381582,14626.7811995667
24,18262.712970912,14015.0390847901
24.2,19658.8355152239,13503.6246909915
24.4,20995.490456031,13248.1712473458
24.6,22244.2421297526,13241.8317408459
24.8,23343.191379842,13469.1796077099
25,24244.4346664529,13915.4117317766
25.2,24865.9425993254,14615.217689484
25.4,25257.1913724489,15534.4542460819
25.6,25260.8236981169,16711.9982072654
25.8,24796.8329868351,17856.8307094756
26,23800.3497971507,18805.6263136056
26.2,22764.3819090311,19500.0367578296
26.4,21627.8110491038,20020.2111330575
26.6,20302.2509695342,20365.8851408089
26.7999999999999,19141.7431253792,20510.3471900089
26.9999999999999,18182.2018129315,20579.5853712914
27.1999999999999,17485.193489258,20521.1470967858
27.3999999999999,16941.2478067395,20204.8765871951
27.5999999999999,16582.2500263188,19662.4549400827
27.7999999999999,16411.6268930805,19045.5161053783
27.9999999999999,16394.263725191,18398.1551439702
28.1999999999999,16687.7774023515,17696.422828131
28.3999999999999,17298.4501964221,16977.7432753559
28.5999999999999,18121.3691662659,16400.1971386607
28.7999999999999,19162.9111329808,15865.3410546128
28.9999999999999,20293.7238065326,15365.2504807025
29.1999999999999,21374.07800999,14965.2177237615
29.3999999999999,22371.7089784555,14767.4126791051
29.5999999999999,23292.3006829013,14816.1754390919
29.7999999999999,24064.0465134215,15034.9790943874
30,24653.2938948897,15426.3916241188
