"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
8.6,-90.8361755798461,48.7666501661963,42.0695254136498
8.8,-91.0870016850118,36.6494514092114,54.4375502758004
9,-89.7091906742692,23.8377520173115,65.8714386569577
9.2,-86.7188735111083,10.7070096387874,76.0118638723209
9.4,-82.0759804659125,-2.65191627892525,84.7278967448378
9.6,-75.8583082720711,-15.9517445351089,91.81005280718
9.8,-68.3181879207125,-28.9448406467318,97.2630285674443
10,-59.7473121151314,-41.3078816018143,101.055193716946
10.2,-50.6238762279655,-52.6123615065109,103.236237734476
10.4,-40.9206818130856,-62.9800372929699,103.900719106056
10.6,-31.0555021843537,-72.2547958000756,103.310297984429
10.8,-21.7336760979365,-79.8953025111841,101.628978609121
11,-12.589979421743,-85.9743512718824,98.5643306936254
11.2,-4.06710981308646,-90.4491158768366,94.5162256899231
11.4,5.02453142768157,-94.2162710756316,89.19173964795
11.6,13.6602261613745,-96.7792390883576,83.1190129269832
11.8,21.9895194587401,-98.0144461564544,76.0249266977142
12,30.794173762655,-98.1681556070312,67.3739818443762
12.2,39.5908127768191,-96.9513584884328,57.3605457116137
12.4,48.1323519114301,-94.0688762601919,45.9365243487618
12.6,55.8518852402826,-89.5123212828256,33.660436042543
12.8,62.4061862604471,-83.2875959500811,20.881409689634
13,67.6624866334867,-75.5925668753616,7.93008024187498
13.2,71.4412537260966,-66.5632340528175,-4.87801967327908
13.4,74.0799831567181,-56.4031668117518,-17.6768163449663
13.6,75.614730901654,-45.4047854339327,-30.2099454677213
13.8,75.8569097087672,-33.4701401815427,-42.3867695272245
14,74.6284767274373,-20.769589542531,-53.8588871849063
14.2,71.7657986085784,-7.65747137753085,-64.1083272310476
14.4,67.2887926626245,5.62561287578257,-72.9144055384071
14.6,61.3603279963041,18.7862579568031,-80.1465859531072
14.8,54.2273508790936,31.5682716484335,-85.7956225275271
15,46.2739698662106,43.5396181304956,-89.8135879967062
15.2,37.5836497936366,54.5722863937429,-92.1559361873795
15.4,28.3359566134936,64.6534271338009,-92.9893837472945
15.6,19.4420083183426,73.2115272464126,-92.6535355647551
15.8,11.0455063478253,80.2447650806036,-91.2902714284289
16,3.42004393940507,85.6813936049006,-89.1014375443057
16.2,-5.1895170819779,90.7958194688852,-85.6063023869073
16.4,-13.7612933707965,94.9179445845684,-81.156651213772
16.6,-22.4204570897271,97.7557883278794,-75.3353312381523
16.8,-31.6059880834276,99.4759447274552,-67.8699566440276
17,-41.0388054112647,99.9081320300728,-58.8693266188081
17.2,-50.4151631711263,98.8894487583052,-48.4742855871789
17.4,-59.0890231122185,96.2318215869105,-37.142798474692
17.6,-66.9420125400917,91.9133976215333,-24.9713850814416
17.8,-73.6378842987093,85.9622300995733,-12.3243458008639
18,-79.004059822151,78.4631954392442,0.540864382906804
18.2,-83.2081638317987,69.5162550209596,13.6919088108391
18.4,-86.1955691031897,59.3258573800311,26.8697117231586
18.6,-87.8891785096311,48.2478976407287,39.6412808689024
18.8,-88.1342059006238,36.1509206078814,51.9832852927424
19,-86.7959907414267,23.3483516913387,63.447639050088
19.2,-83.7916799048074,10.2348203668197,73.5568595379877
19.4,-79.1714704136525,-3.13893022505654,82.3104006387091
19.6,-73.0322427918528,-16.4292942994894,89.4615370913422
19.8,-65.5401120569363,-29.3820689130239,94.9221809699603
20,-57.104128840606,-41.6741131843086,98.7782420249146
20.2,-48.0793343566921,-52.9046997294137,100.984034086106
20.4,-38.4181544371893,-63.2535086679003,101.67166310509
20.6,-28.7175914980066,-72.345616041229,101.063207539236
20.8,-19.5381040159752,-79.9112391890134,99.4493432049886
21,-10.624198671543,-85.8996518059189,96.5238504774619
21.2,-2.32791213998664,-90.3248863588497,92.6527984988363
21.4,6.78315946955441,-94.2360482205902,87.4528887510358
21.6,15.2445792427608,-96.8289326155497,81.5843533727889
21.8,23.7840245798,-98.1889534735411,74.4049288937411
22,32.6362678245575,-98.3478695745772,65.7116017500197
22.2,41.6020405396945,-97.1910774177103,55.5890368780158
22.4,50.190466736099,-94.3579197820938,44.1674530459948
22.6,57.9051210761471,-89.830358450866,31.9252373747189
22.8,64.5090936422318,-83.6702030271187,19.161109384887
23,69.7698205842902,-76.0069489489204,6.23712836463019
23.2,73.6149746954093,-67.0039757315925,-6.61099896381677
23.4,76.3182886026875,-56.8477662888799,-19.4705223138076
23.6,77.9198256745269,-45.8385189818129,-32.081306692714
23.8,78.19057780844,-33.8792524962264,-44.3113253122136
24,76.9139513948061,-21.141097775709,-55.7728536190971
24.2,74.0448998246272,-8.03349215646835,-66.0114076681588
24.4,69.5132645948624,5.27255569036086,-74.7858202852233
24.6,63.5329325721663,18.482705609561,-82.0156381817273
24.8,56.3266434147479,31.2665657598858,-87.5932091746337
25,48.2882602820686,43.3067658572497,-91.5950261393183
25.2,39.5588125879789,54.3539320801965,-93.9127446681755
25.4,30.1911027148228,64.473057362519,-94.6641600773418
25.6,21.1434071098956,73.1498357143831,-94.2932428242787
25.8,12.5550858818953,80.2847949344098,-92.8398808163052
26,4.72339553389191,85.8101586917294,-90.5335542256213
26.2,-3.80203895396781,90.7516517563617,-86.9496128023939
26.4,-12.4794366595226,94.8504727172093,-82.3710360576866
26.6,-20.990597019546,97.6179170158135,-76.6273199962674
26.7999999999999,-30.0867281152044,99.2695707924228,-69.1828426772184
26.9999999999999,-39.3962286469134,99.6933173641614,-60.297088717248
27.1999999999999,-48.724792779425,98.6150116168541,-49.8902188374291
27.3999999999999,-57.395181913447,95.9401722564829,-38.5449903430359
27.5999999999999,-65.1945417430132,91.574903523392,-26.3803617803788
27.7999999999999,-71.8870664889905,85.5984897947549,-13.7114233057645
27.9999999999999,-77.1866688662142,78.0703136840575,-0.883644817843361
28.1999999999999,-81.3230486512098,69.1012651090521,12.2217835421577
28.3999999999999,-84.2990917498267,58.9380482872714,25.3610434625553
28.5999999999999,-85.9723067132937,47.8614046572092,38.1109020560845
28.7999999999999,-86.2444391803369,35.7971480105099,50.447291169827
28.9999999999999,-84.9026369617866,22.9805661770522,61.9220707847343
29.1999999999999,-81.9406878508587,9.85349496022503,72.0871928906336
29.3999999999999,-77.3280553022324,-3.455997093059,80.7840523952914
29.5999999999999,-71.2043046911174,-16.767014359797,87.9713190509144
29.7999999999999,-63.7751943140566,-29.6975552122881,93.4727495263447
30,-55.4054349250184,-41.9371351876826,97.3425701127009
