"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
7.4,-93.7046914410564,73.4206442897521,20.2840471513043
7.59999999999999,-104.479834192827,68.6288673390336,35.850966853793
7.79999999999999,-113.417174388585,62.272680196939,51.1444941916464
8,-120.403683083686,54.4672159293808,65.9364671543048
8.2,-125.297184204007,45.4491002078337,79.8480839961735
8.4,-128.152623401907,35.9255239137218,92.2270994881855
8.6,-129.271977898641,26.6708210452545,102.601156853386
8.8,-129.296968976454,18.4408782329332,110.856090743521
9,-128.285542441055,10.9851733367359,117.300369104319
9.2,-126.749015137574,4.92749348624881,121.821521651325
9.4,-124.655231556371,0.281321106994072,124.373910449377
9.6,-123.45589890356,-0.989732863812003,124.445631767372
9.8,-118.748051485593,-6.43432943163774,125.182380917231
10,-110.897775644393,-14.5789217058098,125.476697350202
10.2,-100.053675212589,-24.2579452725374,124.311620485126
10.4,-86.7318875441482,-34.0917533870217,120.82364093117
10.6,-71.5101837802779,-43.6017005989471,115.111884379225
10.8,-54.6173629213155,-52.8477802361289,107.465143157444
11,-37.0592868268485,-61.0820000384512,98.1412868652997
11.2,-19.8301902476587,-67.5834368733485,87.4136271210072
11.4,-3.19389711346971,-72.3308450909983,75.5247422044681
11.6,12.94231588167,-75.5278521638552,62.5855362821852
11.8,28.4784860684606,-77.1635006325261,48.6850145640655
12,43.3534833557505,-77.3433741678718,33.9898908121213
12.2,57.1727809266381,-75.8286253056274,18.6558443789894
12.4,69.7091283231326,-72.5530093829005,2.84388105976782
12.6,80.7618048978696,-67.6478779335188,-13.1139269643508
12.8,90.0075583582881,-61.1382267618296,-28.8693315964585
13,97.3298843485074,-53.2279666673164,-44.101917681191
13.2,102.512190973052,-44.0429636398975,-58.4692273331541
13.4,105.658368130519,-33.8661266325769,-71.7922414979425
13.6,106.714476784333,-23.7674980596807,-82.9469787246522
13.8,106.265780536799,-15.1787877734349,-91.0869927633644
14,104.651844568558,-7.46299755417355,-97.188847014384
14.2,102.679083942187,-2.10098462168272,-100.578099320504
14.4,101.080868464515,0.833037483958439,-101.913905948474
14.6,100.188102809476,0.999226241056382,-101.187329050532
14.8,95.0619230057299,6.32554251711185,-101.387465522842
15,86.334075121235,14.7472585599508,-101.081333681186
15.2,74.8656336133908,24.6279188142361,-99.493552427627
15.4,61.7351280863695,34.4343384873416,-96.1694665737111
15.6,47.3071316826995,43.7732593674681,-91.0803910501675
15.8,31.8342266796873,52.7327834473693,-84.5670101270565
16,16.1440615723169,60.4117321783529,-76.5557937506698
16.2,0.419859910814381,66.6633200215606,-67.0831799323749
16.4,-15.380717418714,71.6062804162183,-56.2255629975042
16.6,-31.2080023713242,75.238272573472,-44.0302702021478
16.8,-46.7048263226055,77.3569176559686,-30.6520913333632
17,-61.5006348322448,77.7306182832333,-16.2299834509885
17.2,-75.3394477106147,76.396424398377,-1.05697668776236
17.4,-87.8454552839983,73.2832017563281,14.5622535276702
17.6,-98.7113796148342,68.4716666222245,30.2397129926096
17.8,-107.724347389672,62.0836430271983,45.6407043624736
18,-114.770300966759,54.2453687697957,60.5249321969633
18.2,-119.77530127701,45.1670353179006,74.6082659591096
18.4,-122.621519924469,35.3853002468671,87.2362196776019
18.6,-123.605567863421,25.9384450543824,97.6671228090391
18.8,-123.442239470099,17.5921745414894,105.85006492861
19,-122.219360152789,10.0856533193624,112.133706833427
19.2,-120.503733139794,4.19906623952309,116.304666900271
19.4,-118.505559477405,-0.15433863752154,118.659898114926
19.6,-117.618140276878,-0.901356795434179,118.519497072313
19.8,-112.625456082579,-6.31366703678387,118.939123119363
20,-104.546626191831,-14.4707855773581,119.017411769189
20.2,-93.504726120782,-24.2219850978442,117.726711218626
20.4,-80.1957298912849,-34.1039611406374,114.299691031922
20.6,-65.1165416847026,-43.5545849532887,108.671126637991
20.8,-48.5634503186678,-52.7676691520323,101.3311194707
21,-31.5282883416784,-60.8650672804193,92.3933556220977
21.2,-14.8222335000415,-67.2175430070052,82.0397765070467
21.4,1.45586148092738,-71.9871520734461,70.5312905925187
21.6,17.3966667321452,-75.2683233306211,57.8716565984758
21.8,32.8787646571607,-77.087573531846,44.2088088746853
22,47.6264339926377,-77.2947964927803,29.6683625001426
22.2,61.4780308743253,-75.8404795559369,14.3624486816116
22.4,74.0299324691062,-72.6274382552862,-1.40249421382001
22.6,85.0395091055866,-67.7301681050038,-17.3093410005829
22.8,94.2498148948071,-61.2683031993721,-32.981511695435
23,101.50542920575,-53.3655212278896,-48.1399079778603
23.2,106.667109657407,-44.1976985656725,-62.469411091734
