"Time [ms]","FluxLinkage(PhaseA) []","FluxLinkage(PhaseB) []","FluxLinkage(PhaseC) []"
17.2,0.0548491271721786,0.438650627275225,-0.159286811417066
17.4,0.00657638431721787,0.453578001405899,-0.136992406220876
17.6,-0.0418240717366568,0.461855601790477,-0.11175479484336
17.8,-0.0892771751135311,0.463693593240587,-0.0836556979527275
18,-0.135111573917906,0.459012573102733,-0.053213131316425
18.2,-0.178786083621527,0.447726224739383,-0.0210859194544615
18.4,-0.21959912858796,0.430032053432849,0.012255886345786
18.6,-0.258105745352183,0.404965393777284,0.045116787336698
18.8,-0.295347777059855,0.371177209835569,0.0753192564238378
19,-0.329227969511607,0.330639471452464,0.103868395212462
19.2,-0.360144995079007,0.28293138728466,0.129337669891919
19.4,-0.387229566466372,0.229069422867735,0.151642957248852
19.6,-0.41069966906745,0.168990397005315,0.169695536505212
19.8,-0.420721449446218,0.113466576605323,0.192685245980918
20,-0.424641012362279,0.0559991679134093,0.212736802711185
20.2,-0.421685395123251,-0.00168785154285027,0.230282823328213
20.4,-0.412708765886768,-0.0594591745329966,0.244280350552886
20.6,-0.398024010796709,-0.116558193085799,0.254369036772713
20.8,-0.377167274586502,-0.171353948706145,0.261097804560025
21,-0.350187143969186,-0.222734351785281,0.264624677926623
21.2,-0.317678682051541,-0.270125898306664,0.264688099205991
21.4,-0.280279051746357,-0.31294557313785,0.261133852753828
21.6,-0.239075640078678,-0.351035931835672,0.253514536167042
21.8,-0.195093761876204,-0.384186904877972,0.241572818277684
22,-0.149172489130396,-0.412044731081395,0.22535074249341
22.2,-0.101741736970875,-0.43389706371682,0.205405509629627
22.4,-0.0532713306893579,-0.449156161810273,0.182324289975773
22.6,-0.0046407138291157,-0.457729979857594,0.156347443828961
22.8,0.0432012195504114,-0.459700482715887,0.127685668119512
23,0.0892851715674153,-0.455285772409459,0.0965589530041142
23.2,0.133085380234297,-0.444387753881837,0.0636378176529194
23.4,0.174209107737759,-0.426904696490582,0.0297125366447268
23.6,0.213220802074307,-0.401873651064467,-0.00351742069133461
23.8,0.25196561020798,-0.367137845768543,-0.0331092655080659
24,0.287956796614997,-0.325063202279168,-0.0604630228158332
24.2,0.322588931609911,-0.274199267956325,-0.0831639079818201
24.4,0.352780592671393,-0.217735168075287,-0.103325802803398
24.6,0.376819378542385,-0.157614694303967,-0.121776027837234
24.8,0.388814471063297,-0.100602934011201,-0.143781236553348
25,0.392020361883682,-0.0443757752255408,-0.165569442499808
25.2,0.388334221956918,0.0120372887443408,-0.184890515498356
25.4,0.378779839310306,0.068696218429072,-0.20050117905671
25.6,0.363416194104989,0.124606676040775,-0.212261422273068
25.8,0.341499093406505,0.177873489044194,-0.220985580107782
