"Time [ms]","ElecPower []","MechPower []"
21.8,17695.4253106329,15641.7021291393
22,19760.7525200335,14302.7592398087
22.2,22098.2205419713,13422.8599739531
22.4,24552.6415103387,12982.342365273
22.6,27014.1056607484,13028.5004534388
22.8,29350.4857437821,13587.3716441344
23,31465.1762075711,14631.8824453386
23.2,33263.3732601738,16003.6947596084
23.4,34646.9948487777,17671.4075390619
23.6,35351.6481104985,19806.2401647343
23.8,35097.5459549246,22519.5612933018
24,34052.2747255045,25143.4024899383
24.2,31938.0807122819,27522.8447455242
24.4,28802.355124609,29599.1524802747
24.6,24561.3856164332,31252.2069812429
24.8,20880.971440575,31591.6089950013
25,18311.7870779733,30814.1041908667
25.2,16490.688877999,29391.8533980618
25.4,15177.8014531498,27615.4320892031
25.6,14427.7352859523,25535.2111144986
25.8,14402.8161535857,23251.4539969088
26,14839.9006583722,20926.9633246309
26.2,15645.1471907025,18732.1101378666
26.4,16925.8565333338,16699.7930916736
26.6,18673.1640288962,14907.4043358065
26.7999999999999,20836.2883611908,13468.0113843863
26.9999999999999,23272.4484588456,12504.7773921607
27.1999999999999,25877.0939647229,12046.7106672562
27.3999999999999,28541.6809177615,12043.1950875332
27.5999999999999,31099.2739442938,12543.20843781
27.7999999999999,33456.9304008056,13552.3150914556
27.9999999999999,35474.5929991728,15016.3850229285
28.1999999999999,37175.8372001388,16811.5114204296
28.3999999999999,38332.4960873019,18897.3832792279
28.5999999999999,38700.6814172984,21445.0938248956
28.7999999999999,38219.9327134972,24424.8454951681
28.9999999999999,36909.7210863639,27265.8783544317
29.1999999999999,34619.8823588868,29771.1239129998
29.3999999999999,31341.2275616729,31867.4582097203
29.5999999999999,26820.8534453467,33666.3598020917
29.7999999999999,22716.1064426897,34173.6113640947
30,19637.2837875274,33560.3960794396
