"Time [ms]","InducedVoltage(PhaseA) [V]","InputVoltage(PhaseA) [V]","Current(PhaseA) [A]"
16.8,-219.063468038082,-232.567292860128,-75.5349678131158
17,-223.607786522219,-238.161424991419,-88.4450863280695
17.2,-224.756396252942,-239.999609179856,-100.019036881414
17.4,-222.678669885068,-238.052856162709,-110.093515458698
17.6,-216.582296242672,-232.351867397993,-118.486127727683
17.8,-206.196206880757,-222.986550884134,-124.958926274802
18,-191.046741416963,-210.104603257123,-129.629531089396
18.2,-171.447193442401,-193.90918052634,-132.683951577658
18.4,-150.593477558908,-174.655694182928,-133.89605073687
18.6,-129.628146678679,-152.647783207997,-133.183671764787
18.8,-108.744675998028,-128.232525504509,-130.627119615118
19,-85.9438805566157,-101.794964271418,-126.29957425001
19.2,-61.4929995162924,-73.752035642403,-119.93834058372
19.4,-36.5021356583972,-44.5459933539765,-111.589163409952
19.6,-12.2155237767066,-14.6374341398711,-101.279437612993
19.8,10.1244343627616,15.5019661545993,-89.3254647220324
20,33.247766602271,45.396891182386,-75.968764493162
20.2,58.1076739958089,74.5758801174382,-61.3889657597638
20.4,84.2744538145071,102.578762873567,-46.0412336928812
20.6,112.036195387269,128.963917261597,-30.5207018389645
20.8,137.923937251671,153.315233635102,-15.0046721335512
21,160.53711283347,175.2486771881,0.616532221877321
21.2,180.836022167739,194.418344413356,16.2836062425724
21.4,199.145335239222,210.521918207324,31.8236556589239
21.6,215.511617943388,223.305435591465,47.0653563063627
21.8,227.021013360497,232.567292860127,61.645091207669
22,232.456873648313,238.161424991418,75.0956088769416
22.2,231.23104640844,239.999609179856,87.1727803794882
22.4,225.548815259182,238.05285616271,97.4086479476729
22.6,218.598537944222,232.351867397995,105.880692533194
22.8,208.300353578094,222.986550884136,112.479500721223
23,194.327982607675,210.104603257125,117.083451389951
23.2,176.966147106323,193.909180526343,119.730988588628
23.4,156.524515152694,174.655694182931,120.570582288608
23.6,135.173923009552,152.647783208,119.694608065644
23.8,114.414436451872,128.232525504513,116.972680653631
24,92.2602712668927,101.794964271423,112.381667040663
24.2,66.6998492479184,73.7520356424076,105.901778598878
24.4,40.6994457994789,44.5459933539811,97.4586660980071
24.6,14.4203109143107,14.6374341398759,87.1940764456321
24.8,-11.9007525843212,-15.5019661545946,75.2695478118501
25,-37.4109536495223,-45.3968911823813,62.1018492504166
25.2,-63.4380614937743,-74.5758801174337,48.0889285108971
25.4,-90.5317099604763,-102.578762873563,33.541032991053
25.6,-116.037429239936,-128.963917261593,18.568174549193
25.8,-138.977454047767,-153.315233635098,3.20734357442471
26,-160.267292722282,-175.248677188096,-12.3276812185942
26.2,-179.198072587917,-194.418344413353,-27.8777009508041
26.4,-195.957378236669,-210.521918207322,-43.2305889865651
26.6,-210.491756532019,-223.305435591463,-58.1452120523187
26.7999999999999,-220.90721554242,-232.567292860126,-72.3710504231919
26.9999999999999,-225.422469874035,-238.161424991418,-85.4178307721619
27.1999999999999,-225.389940252657,-239.999609179856,-97.0216535879865
27.3999999999999,-223.265298550625,-238.05285616271,-107.130807715821
27.5999999999999,-217.007750225769,-232.351867397996,-115.527117378946
27.7999999999999,-206.682293717285,-222.986550884137,-122.048240516424
27.9999999999999,-192.255075948791,-210.104603257127,-126.586112671822
28.1999999999999,-172.7488096088,-193.909180526346,-129.554699994583
28.3999999999999,-152.031086543195,-174.655694182934,-130.718348671046
28.5999999999999,-131.064187243293,-152.647783208003,-129.944650200698
28.7999999999999,-110.127799458066,-128.232525504517,-127.356612378473
28.9999999999999,-87.7921753207633,-101.794964271427,-122.921092053844
29.1999999999999,-62.7435039032392,-73.7520356424117,-116.558914860158
29.3999999999999,-37.4467096166109,-44.5459933539854,-108.162776885648
29.5999999999999,-12.7421518993678,-14.6374341398801,-97.8186416631376
29.7999999999999,10.7479364090438,15.5019661545903,-85.837109641496
30,34.1113684921818,45.3968911823872,-72.5059670507283
